Firm	ID	Time	Text	User	RT	From_Firm	t	URL
Monzo	1.185026076650754e+18	2019-10-18T01:53:28Z	RT @dog_rates: This is Beau. He figured out how to rock back and forth all by himself. No human required. 14/10 a self-sufficient king http…	3638295615.0	1.1849681535471944e+18	0	2019-10-18 01:00:00	
Monzo	1.185026046694953e+18	2019-10-18T01:53:20Z	RT @LBSumarsheikh: I can understand funds being frozen for money laundering checks; but this is normally limited to a particular transactio…	1.0258477717299978e+18	1.184914905515905e+18	0	2019-10-18 01:00:00	
Monzo	1.1850245377983324e+18	2019-10-18T01:47:21Z	"RT @500wayz_: this is me and my boo living our best life in the future 
 https://t.co/X0LUW5PkFt"	3638295615.0	1.184542283271676e+18	0	2019-10-18 01:00:00	
Monzo	1.1850242635495752e+18	2019-10-18T01:46:15Z	It’s been a while 🤤😋 @ Marugame Monzo https://t.co/5Tw25sEGV3	15686655.0	-1.0	0	2019-10-18 01:00:00	
Monzo	1.1850225390111498e+18	2019-10-18T01:39:24Z	"RT @Miss_Kay666: $end $erve $ubmit

CashApp: £MissKay666
Amazon Gift Card &amp; Google Pay: mistresskay666@gmail.com
Monzo: 040004 90451557
Ban…"	1.1719309642615808e+18	1.184954808194814e+18	0	2019-10-18 01:00:00	
Monzo	1.1850222186376274e+18	2019-10-18T01:38:08Z	@kieranmch @monzo What is the deploy to pull request ratio? Is each app update equal to 1 deploy or some higher number?	21718783.0	-1.0	0	2019-10-18 01:00:00	
Monzo	1.1850221771725742e+18	2019-10-18T01:37:58Z	RT @evnsio: Full house at #slackfrontiers London today. If you're interested in how @monzo uses @SlackHQ to deal with incidents, come see m…	19643924.0	1.1847510606715208e+18	0	2019-10-18 01:00:00	
Monzo	1.1850213739845304e+18	2019-10-18T01:34:46Z	RT @mdvx_: Monzo app is too loud uno https://t.co/mmbk2jXhKn	2548540495.0	1.184601192204329e+18	0	2019-10-18 01:00:00	
Monzo	1.1850145645486817e+18	2019-10-18T01:07:43Z	Seems someone is scared of disruption or the show just wanted some viewers.  #whatsgoingonzomonzo is the story of a… https://t.co/IvUvsnnutv	904539895.0	-1.0	0	2019-10-18 01:00:00	
Monzo	1.1850141027600548e+18	2019-10-18T01:05:53Z	@ATAllport @monzo @BBCOne @BBCWatchdog How were you scammed?	9.051317469954458e+17	-1.0	0	2019-10-18 01:00:00	
Monzo	1.1850134910669128e+18	2019-10-18T01:03:27Z	Never had a problem with @monzo , bbc is very one sided, what a shame, don’t believe everything you hear, customer… https://t.co/cdzJrZ5Wpo	8.172753596998943e+17	-1.0	0	2019-10-18 01:00:00	
Monzo	1.185012120846512e+18	2019-10-18T00:58:00Z	Explain Everything helps you focus on specific tutoring goals, allowing you to make lessons more personal and tailo… https://t.co/0sY49mTLSb	284577660.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.185010548150276e+18	2019-10-18T00:51:45Z	"RT @Wriggy: Karen: How dare Monzo freeze/block accounts as a security measure

Karen: *has a phone pin of '1234' and has her Gmail password…"	6.997063700991713e+17	1.184919765778944e+18	0	2019-10-18 00:00:00	
Monzo	1.1850093369359483e+18	2019-10-18T00:46:56Z	RT @Sheryl_xo: I have been using monzo since it’s early days and never had an issue! They’ve been great in every aspect including helping w…	1711407847.0	1.1849140610598748e+18	0	2019-10-18 00:00:00	
Monzo	1.1850088584287764e+18	2019-10-18T00:45:02Z	The brands of 8 of the largest banks in the UK — including HSBC and Barclays — declined by an average of 7% over th… https://t.co/aJ9HhANdpH	3376567043.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.1850073192953856e+18	2019-10-18T00:38:55Z	RT @_FolushoA: Use Monzo for your everyday spending especially cause it tells you how much you’ve spent. Go out every other weekend, have a…	1499627060.0	1.1849762531846308e+18	0	2019-10-18 00:00:00	
Monzo	1.1850072752888136e+18	2019-10-18T00:38:45Z	"#WhatsGoingOnzoMonzo ??
@monzo has the Best customer service, and the easiest way to manage my money.
The other day… https://t.co/tYgZOnNSSy"	209695026.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.1850050479329567e+18	2019-10-18T00:29:54Z	RT @katiedotevans: Wow @monzo getting exposed on @BBCWatchdog right now! Imagine a bank freezing your account, then giving you info for a F…	781404265.0	1.1849102231794235e+18	0	2019-10-18 00:00:00	
Monzo	1.1850049731066143e+18	2019-10-18T00:29:36Z	"RT @Wriggy: Karen: How dare Monzo freeze/block accounts as a security measure

Karen: *has a phone pin of '1234' and has her Gmail password…"	781404265.0	1.184919765778944e+18	0	2019-10-18 00:00:00	
Monzo	1.185002382180135e+18	2019-10-18T00:19:18Z	@monzo I've been with @monzo and have had no issues. @lastminute_com however was a nightmare with their Visa Prepai… https://t.co/bv78JGirbD	565374258.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.1850001660819415e+18	2019-10-18T00:10:30Z	RT @Kyl3q: I think it was bit of a slow news week this week for Watchdog. Get the facts straight before you try to crush businesses. @monzo…	9.387123875485656e+17	1.184921302135693e+18	0	2019-10-18 00:00:00	
Monzo	1.185000030215852e+18	2019-10-18T00:09:58Z	"RT @Wriggy: Karen: How dare Monzo freeze/block accounts as a security measure

Karen: *has a phone pin of '1234' and has her Gmail password…"	9.387123875485656e+17	1.184919765778944e+18	0	2019-10-18 00:00:00	
Monzo	1.1849994889283215e+18	2019-10-18T00:07:49Z	@samdmorgan @monzo @pebbles22b They clearly aren't allowed to say anything due to banking regulations, technically… https://t.co/4GVuFiAQuW	3045657838.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.184999472507609e+18	2019-10-18T00:07:45Z	@Siefertson What are the obvious reasons? They’ve passed me over. I’ve not had any trouble with Monzo at all, despi… https://t.co/Ibh4ccGgWG	18139797.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.184998529368023e+18	2019-10-18T00:04:00Z	That’s why I’ve been telling people about these online banks. Can’t put all your eggs into one bank especially if t… https://t.co/kBa4wZquXY	444184477.0	-1.0	0	2019-10-18 00:00:00	
Monzo	1.1850718008976712e+18	2019-10-18T04:55:09Z	@sytaylor @avtarsehra Please try again with an actual argument - it ain't a bank if it don't do mortgage. Says who?… https://t.co/o1ra9qQFyK	112509659.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850717347745505e+18	2019-10-18T04:54:53Z	@jlagrue @cufcdeano @monzo @BBCWatchdog You can’t ignore the facts on WD John. 🤦🏻‍♂️	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185071697126482e+18	2019-10-18T04:54:44Z	It’s clear from watching the @BBCWatchdog report on @monzo last night that they do not understand banking regulatio… https://t.co/tfQHCiBfQY	53790810.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850716728036805e+18	2019-10-18T04:54:39Z	RT @kieranmch: Some banks deploy to production once a quarter. @monzo engineers are now doing ~100 incremental deployments to production pe…	2320856897.0	1.184411784704381e+18	0	2019-10-18 04:00:00	
Monzo	1.1850713482484654e+18	2019-10-18T04:53:21Z	@monzo @TheDeborahRock How about directing  customers to food banks, homeless shelters, closing accounts, keeping c… https://t.co/Xmovy0srWU	268288077.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850712423422894e+18	2019-10-18T04:52:56Z	@dustlined @monzo Accurate. I complained. They said it was tough and I get my money next year but they did give me… https://t.co/3Gm0Peme9M	220384582.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850712379716403e+18	2019-10-18T04:52:55Z	@stevie_baby89 @monzo 🤦🏻‍♂️till it’s happened to you	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850712362059407e+18	2019-10-18T04:52:54Z	@darrenjboyle @GingerPower_ @monzo @BBCWatchdog @RevolutApp Use First Direct.	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850712335803105e+18	2019-10-18T04:52:54Z	@veloknee @monzo So you clearly didn’t watch the evidence on WD? 🤦🏻‍♂️	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850712318313308e+18	2019-10-18T04:52:53Z	@kempy79 @tankhead666 @monzo Kempy clearly doesn’t have ears that work... totally indefensible service and food ban… https://t.co/Ti5vfDkS5c	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850711007845294e+18	2019-10-18T04:52:22Z	"RT @bensmithuk: Watchdog: Have time to commission an ice sculpture, but not to read-up on anti-money laundering rules.

Rules which Monzo e…"	1.0910088120379268e+18	1.1849138900035666e+18	0	2019-10-18 04:00:00	
Monzo	1.185070946757034e+18	2019-10-18T04:51:45Z	RT @willwhite11fs: @BBCWatchdog @Mattallwright @stephbreakfast @FoxNikkiFox I hope @NickyMorgan01 @DCMS and @thefca are now involved and re…	19651231.0	1.184975959847555e+18	0	2019-10-18 04:00:00	
Monzo	1.1850707259479e+18	2019-10-18T04:50:53Z	Don't even bank with Monzo but the responses to this are a joke. People so willing to believe anything on TV withou… https://t.co/iwr4BIbe3V	74855802.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185070647321473e+18	2019-10-18T04:50:34Z	@sytaylor @avtarsehra I think people feel Monzo are more likeable than say revolut but the customer don't care. The… https://t.co/OtmN45wD6L	112509659.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850702704171254e+18	2019-10-18T04:49:04Z	"@austinduffield Hey Austin 👋

You can open a 'Fixed Savings Pot' if you want to. But we also have easy access savin… https://t.co/HKCCH232Fi"	3224409977.0	-1.0	1	2019-10-18 04:00:00	
Monzo	1.1850694516344586e+18	2019-10-18T04:45:49Z	"RT @Miss_Kay666: $end $erve $ubmit

CashApp: £MissKay666
Amazon Gift Card &amp; Google Pay: mistresskay666@gmail.com
Monzo: 040004 90451557
Ban…"	1.177638747095126e+18	1.184954808194814e+18	0	2019-10-18 04:00:00	
Monzo	1.1850693794379407e+18	2019-10-18T04:45:32Z	@nosborino @monzo Such bollox. So HSBC, Santander, Barclays would block your phone, tell you to go to a food bank?… https://t.co/IEdJqVivaz	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850691229604782e+18	2019-10-18T04:44:31Z	@adidas_mbc @cufcdeano @monzo You do realise every bank does this not just Monzo?	74855802.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850690331813317e+18	2019-10-18T04:44:09Z	@RJoness26 @monzo @BBCWatchdog Accounts getting closed down and money going missing	434346152.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185068894387655e+18	2019-10-18T04:43:36Z	@CpfcSean @TheRealRevK @monzo Good advice. Alright peeps saying ‘oh never had an issue’ it can apply to anyone at a… https://t.co/RSGvcxNDJ9	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850684761694454e+18	2019-10-18T04:41:56Z	@WinnCallum @monzo Assume they’ve been sacked already.	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850683974842286e+18	2019-10-18T04:41:38Z	@paulhalliday @CafeFairTradeUK @monzo Can’t see any big back delivering the appalling amateur customer service by M… https://t.co/Ua81zoXc9P	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850679873316168e+18	2019-10-18T04:40:00Z	@fipunchard @monzo @BBCWatchdog Need a new PR Team, they’ve taken a defend and argue approach. Telling people to us… https://t.co/5e3eGLg7cj	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850676199022633e+18	2019-10-18T04:38:32Z	"RT @monzo: Blocking accounts is something all banks have to do sometimes.

Here's more about why this (very rarely) happens:

https://t.co/…"	214511876.0	1.184881252974891e+18	0	2019-10-18 04:00:00	
Monzo	1.1850675576042824e+18	2019-10-18T04:38:17Z	@monzo I'm still waiting to hear what compensation you pay if you incorrectly flag up or freeze an account? Also, t… https://t.co/BdBgBEL4ZM	227666609.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185067494404477e+18	2019-10-18T04:38:02Z	@ej_thequietone @monzo Same here. The appalling lack of customer service is enough to put me off letting them near my main banking	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185067287755264e+18	2019-10-18T04:37:13Z	@pennyluke29 @monzo Others never had any issues either..,, you miss the point 🤦🏻‍♂️	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185067093114458e+18	2019-10-18T04:36:27Z	@weazel91 @monzo @BBCWatchdog Probably the other customers felt the same... then bang! Locked out. I’ve shifted my… https://t.co/i3mR5Yv6zX	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850668381972316e+18	2019-10-18T04:35:26Z	@monzo But the thing is this can happen to any other major or small banking group, not just Monzo. I've been with t… https://t.co/owvM4tnrm5	1615867063.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185066699114066e+18	2019-10-18T04:34:53Z	@monzo In denial.... 🤦🏻‍♂️ need a new PR Team.	2473076029.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.1850665229533553e+18	2019-10-18T04:34:11Z	@nidgaldr @monzo I would not recommend doing that, personally. In my case I simply moved some money from @monzo to… https://t.co/j2i3cst1JD	227666609.0	-1.0	0	2019-10-18 04:00:00	
Monzo	1.185066231008813e+18	2019-10-18T04:33:01Z	@dylmye @monzo Thanks, that is a start. I am struggling to find the bits in they legislation about freezing the acc… https://t.co/Q6F22Egjel	227666609.0	-1.0	0	2019-10-18 04:00:00	
